player_id,player_name,team_id,team_name,matches_played,total_events,passes,shots,goals,total_xg,events_under_pressure,xg_difference,_created_at
68574,Nicholas Williams Arthuer,772,Spain,4,308,62,0,0,0.0,100,0.0,2026-07-17 15:52:20.135162
16489,Nemanja Gudelj,786,Serbia,2,171,55,0,0,0.0,21,0.0,2026-07-17 15:52:20.135162
33477,Riley McGree,792,Australia,4,361,73,3,0,0.08,69,-0.08,2026-07-17 15:52:20.135162
7472,Nicolas Alexis Julio N'Koulou Ndoubena,2722,Cameroon,2,310,93,3,0,0.382,31,-0.382,2026-07-17 15:52:20.135162
3512,Marko Grujić,786,Serbia,1,57,17,1,0,0.027,7,-0.027,2026-07-17 15:52:20.135162
5713,Mohammed Kanoo,799,Saudi Arabia,3,519,145,6,0,0.319,106,-0.319,2026-07-17 15:52:20.135162
15452,Carlos Uriel Antuna Romero,794,Mexico,3,94,18,2,0,0.309,23,-0.309,2026-07-17 15:52:20.135162
3532,Jordan Brian Henderson,768,England,4,538,166,2,1,0.149,67,0.851,2026-07-17 15:52:20.135162
4354,Phil Foden,768,England,2,214,57,5,1,1.229,31,-0.229,2026-07-17 15:52:20.135162
5214,William Silva de Carvalho,780,Portugal,4,526,165,1,0,0.049,59,-0.049,2026-07-17 15:52:20.135162
5665,Arkadiusz Milik,789,Poland,3,143,33,1,0,0.135,35,-0.135,2026-07-17 15:52:20.135162
17043,Victor Nelsson,776,Denmark,1,204,72,0,0,0.0,15,0.0,2026-07-17 15:52:20.135162
6704,Theo Bernard François Hernández,771,France,6,1040,332,5,1,0.259,151,0.741,2026-07-17 15:52:20.135162
37737,Angelo Smit Preciado Quiñónez,3565,Ecuador,3,418,129,4,0,0.071,66,-0.071,2026-07-17 15:52:20.135162
31684,Atiba Hutchinson,1833,Canada,3,346,112,2,0,0.133,68,-0.133,2026-07-17 15:52:20.135162
7104,Mathías Olivera Miramontes,783,Uruguay,3,438,133,2,0,0.081,77,-0.081,2026-07-17 15:52:20.135162
5259,José María Giménez de Vargas,783,Uruguay,3,502,167,3,0,0.129,43,-0.129,2026-07-17 15:52:20.135162
7843,Mason Mount,768,England,4,331,74,4,0,0.182,67,-0.182,2026-07-17 15:52:20.135162
5230,Ehsan Hajsafi,797,Iran,3,317,99,1,0,0.068,60,-0.068,2026-07-17 15:52:20.135162
3488,Wayne Hennessey,907,Wales,2,182,66,0,0,0.0,12,0.0,2026-07-17 15:52:20.135162
4685,Artur Jędrzejczyk,789,Poland,1,12,5,0,0,0.0,0,0.0,2026-07-17 15:52:20.135162
22371,Bailey Wright,792,Australia,1,14,4,0,0,0.0,6,0.0,2026-07-17 15:52:20.135162
8859,Ajdin Hrustic,792,Australia,3,133,23,1,0,0.033,43,-0.033,2026-07-17 15:52:20.135162
