team_id,team_name,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,_created_at
791,South Korea,4,1,1,2,5,8,-3,4,2026-07-17 15:31:40.874458
787,Senegal,4,2,0,2,5,7,-2,6,2026-07-17 15:31:40.874458
792,Australia,4,2,0,2,4,6,-2,6,2026-07-17 15:31:40.874458
4885,Ghana,3,1,0,2,5,7,-2,3,2026-07-17 15:31:40.874458
772,Spain,4,1,2,1,9,3,6,5,2026-07-17 15:31:40.874458
1839,United States,4,1,2,1,3,4,-1,5,2026-07-17 15:31:40.874458
789,Poland,4,1,1,2,3,5,-2,4,2026-07-17 15:31:40.874458
782,Belgium,3,1,1,1,1,2,-1,4,2026-07-17 15:31:40.874458
786,Serbia,3,0,1,2,5,8,-3,1,2026-07-17 15:31:40.874458
788,Morocco,7,3,2,2,6,5,1,11,2026-07-17 15:31:40.874458
797,Iran,3,1,0,2,4,7,-3,3,2026-07-17 15:31:40.874458
3565,Ecuador,3,1,1,1,4,3,1,4,2026-07-17 15:31:40.874458
2722,Cameroon,3,1,1,1,4,4,0,4,2026-07-17 15:31:40.874458
785,Croatia,7,2,4,1,8,7,1,10,2026-07-17 15:31:40.874458
771,France,7,5,1,1,16,8,8,16,2026-07-17 15:31:40.874458
783,Uruguay,3,1,1,1,2,2,0,4,2026-07-17 15:31:40.874458
777,Tunisia,3,1,1,1,1,1,0,4,2026-07-17 15:31:40.874458
781,Brazil,5,3,1,1,8,3,5,10,2026-07-17 15:31:40.874458
768,England,5,3,1,1,13,4,9,10,2026-07-17 15:31:40.874458
794,Mexico,3,1,1,1,2,3,-1,4,2026-07-17 15:31:40.874458
773,Switzerland,4,2,0,2,5,9,-4,6,2026-07-17 15:31:40.874458
770,Germany,3,1,1,1,6,5,1,4,2026-07-17 15:31:40.874458
3566,Qatar,3,0,0,3,1,7,-6,0,2026-07-17 15:31:40.874458
1833,Canada,3,0,0,3,2,7,-5,0,2026-07-17 15:31:40.874458
941,Netherlands,5,3,2,0,10,4,6,11,2026-07-17 15:31:40.874458
779,Argentina,7,4,2,1,15,8,7,14,2026-07-17 15:31:40.874458
780,Portugal,5,3,0,2,12,6,6,9,2026-07-17 15:31:40.874458
907,Wales,3,0,1,2,1,6,-5,1,2026-07-17 15:31:40.874458
778,Japan,4,2,1,1,5,4,1,7,2026-07-17 15:31:40.874458
795,Costa Rica,3,1,0,2,3,11,-8,3,2026-07-17 15:31:40.874458
776,Denmark,3,0,1,2,1,3,-2,1,2026-07-17 15:31:40.874458
799,Saudi Arabia,3,1,0,2,3,5,-2,3,2026-07-17 15:31:40.874458
